,MWh.1
2020-12-13 00:00:00,288.108
2020-12-13 00:15:00,266.028
2020-12-13 00:30:00,246.36
2020-12-13 00:45:00,227.268
2020-12-13 01:00:00,210.168
2020-12-13 01:15:00,193.836
2020-12-13 01:30:00,179.7
2020-12-13 01:45:00,172.344
2020-12-13 02:00:00,167.568
2020-12-13 02:15:00,163.812
2020-12-13 02:30:00,162.396
2020-12-13 02:45:00,160.01999999999998
2020-12-13 03:00:00,159.03599999999997
2020-12-13 03:15:00,158.232
2020-12-13 03:30:00,157.98
2020-12-13 03:45:00,159.48
2020-12-13 04:00:00,162.93599999999998
2020-12-13 04:15:00,165.93599999999998
2020-12-13 04:30:00,169.02
2020-12-13 04:45:00,172.62
2020-12-13 05:00:00,172.764
2020-12-13 05:15:00,172.848
2020-12-13 05:30:00,174.72
2020-12-13 05:45:00,180.948
2020-12-13 06:00:00,192.852
2020-12-13 06:15:00,266.508
2020-12-13 06:30:00,278.34000000000003
2020-12-13 06:45:00,288.372
2020-12-13 07:00:00,305.844
2020-12-13 07:15:00,320.808
2020-12-13 07:30:00,351.24
2020-12-13 07:45:00,376.152
2020-12-13 08:00:00,395.484
2020-12-13 08:15:00,423.552
2020-12-13 08:30:00,449.664
2020-12-13 08:45:00,474.828
2020-12-13 09:00:00,499.788
2020-12-13 09:15:00,529.824
2020-12-13 09:30:00,559.596
2020-12-13 09:45:00,584.34
2020-12-13 10:00:00,609.4920000000001
2020-12-13 10:15:00,635.808
2020-12-13 10:30:00,685.6800000000001
2020-12-13 10:45:00,710.052
2020-12-13 11:00:00,731.5799999999999
2020-12-13 11:15:00,748.044
2020-12-13 11:30:00,746.808
2020-12-13 11:45:00,729.948
2020-12-13 12:00:00,706.0680000000001
2020-12-13 12:15:00,687.096
2020-12-13 12:30:00,641.2560000000001
2020-12-13 12:45:00,627.54
2020-12-13 13:00:00,598.3439999999999
2020-12-13 13:15:00,588.684
2020-12-13 13:30:00,572.2560000000001
2020-12-13 13:45:00,563.592
2020-12-13 14:00:00,560.2560000000001
2020-12-13 14:15:00,550.944
2020-12-13 14:30:00,543.072
2020-12-13 14:45:00,539.304
2020-12-13 15:00:00,537.0360000000001
2020-12-13 15:15:00,536.196
2020-12-13 15:30:00,535.428
2020-12-13 15:45:00,540.048
2020-12-13 16:00:00,555.024
2020-12-13 16:15:00,580.092
2020-12-13 16:30:00,600.18
2020-12-13 16:45:00,633.372
2020-12-13 17:00:00,655.6800000000001
2020-12-13 17:15:00,669.06
2020-12-13 17:30:00,678.4680000000001
2020-12-13 17:45:00,679.5840000000001
2020-12-13 18:00:00,675.204
2020-12-13 18:15:00,664.3199999999999
2020-12-13 18:30:00,649.26
2020-12-13 18:45:00,634.428
2020-12-13 19:00:00,616.4399999999999
2020-12-13 19:15:00,598.3199999999999
2020-12-13 19:30:00,585.444
2020-12-13 19:45:00,575.076
2020-12-13 20:00:00,569.364
2020-12-13 20:15:00,559.6800000000001
2020-12-13 20:30:00,550.6679999999999
2020-12-13 20:45:00,540.912
2020-12-13 21:00:00,524.124
2020-12-13 21:15:00,508.812
2020-12-13 21:30:00,490.41600000000005
2020-12-13 21:45:00,479.64
2020-12-13 22:00:00,464.6880000000001
2020-12-13 22:15:00,452.1360000000001
2020-12-13 22:30:00,417.192
2020-12-13 22:45:00,380.316
2020-12-13 23:00:00,353.472
2020-12-13 23:15:00,330.696
2020-12-13 23:30:00,304.716
2020-12-13 23:45:00,277.488
