;0
0;6.874195244657491
1;6.361010718443605
2;5.9039877430134515
3;5.460440950772513
4;5.063249199093722
5;4.683963995404424
6;4.355730982395535
7;4.184946892052637
8;4.074069827243028
9;3.9868765365227494
10;3.9540055603074955
11;3.898850261508181
12;3.876009502777279
13;3.8573465900376225
14;3.8514971254596513
15;3.88631579229673
16;3.9665394483747867
17;4.036182150460757
18;4.107776663734721
19;4.19135260189697
20;4.194697656737436
21;4.196647817620947
22;4.240108434955468
23;4.384707108214595
24;4.661114247867146
25;6.372165619871822
26;6.64715201273782
27;6.880331975393535
28;7.286504058356762
29;7.634432831200494
30;8.342180497876003
31;8.921722647345431
32;9.371560532582658
33;10.024842946186425
34;10.632776061413821
35;11.218799369401815
36;11.800228518059667
37;12.500107358776361
38;13.194058305594398
39;13.770982110243397
40;14.357576894111782
41;14.971489456194051
42;16.135408621590283
43;16.70443489562584
44;17.20718628843164
45;17.59175577037756
46;17.562882396334302
47;17.16906945662144
48;16.61140797875542
49;16.168464614598594
50;15.098604944905961
51;14.77859064073734
52;14.09756361700335
53;13.87228145136586
54;13.489215864652095
55;13.287217423318182
56;13.209442963416421
57;12.99236719828936
58;12.808875422109633
59;12.721051031155673
60;98.33812815027707
61;98.31769185679313
62;98.29900758412336
63;98.41140826311913
64;98.77580830380792
65;99.38593066801083
66;99.87499210371733
67;100.68336757350013
68;101.22686805024024
69;101.55292853056596
70;101.78222904578169
71;101.80943089083976
72;101.70267256119732
73;101.43741169476732
74;101.07043804866433
75;14.939291781253822
76;14.519646248872947
77;14.097003880613457
78;13.796726243305574
79;13.554967357763035
80;13.421787690377734
81;13.196016563976324
82;12.98593353394323
83;12.758529793255615
84;12.367272349047168
85;12.010475955729792
86;11.581894750009873
87;11.330880055716346
88;10.98263834819107
89;10.690337381902275
90;9.876796789249079
91;9.018607236579957
92;8.39409849720632
93;7.8643697669770045
94;7.260279122512774
95;6.627349601334391
